epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
87,132230,0.65084,0.30908,0.83292,0.49972,0.32448,0.35846,0.20532,1.67657,1.8346,1.18375,0.001486,0.001486,0.001486
88,133347,0.64604,0.30697,0.83167,0.50066,0.32432,0.35853,0.20545,1.67661,1.83674,1.18404,0.001387,0.001387,0.001387
89,134464,0.64177,0.30559,0.83131,0.50165,0.32501,0.35849,0.2054,1.67705,1.83804,1.18445,0.001288,0.001288,0.001288
90,135580,0.63889,0.30342,0.8299,0.50067,0.32376,0.35804,0.20507,1.67806,1.83798,1.18513,0.001189,0.001189,0.001189
91,136697,0.60537,0.28675,0.82376,0.50229,0.32259,0.35801,0.20516,1.67747,1.83768,1.18524,0.00109,0.00109,0.00109
92,137792,0.59618,0.28354,0.82325,0.50263,0.32164,0.35806,0.20536,1.67713,1.83933,1.18544,0.000991,0.000991,0.000991
93,138888,0.589,0.28023,0.82182,0.50284,0.3205,0.3578,0.20548,1.67731,1.84419,1.18618,0.000892,0.000892,0.000892
94,139984,0.5828,0.27763,0.82076,0.50264,0.31975,0.35767,0.20544,1.67727,1.8486,1.18672,0.000793,0.000793,0.000793
95,141079,0.57707,0.27548,0.81895,0.50356,0.3194,0.35793,0.20565,1.67742,1.85198,1.18739,0.000694,0.000694,0.000694
96,142175,0.57291,0.27353,0.81853,0.50317,0.31911,0.35766,0.20587,1.67707,1.85251,1.18809,0.000595,0.000595,0.000595
97,143270,0.56707,0.27111,0.81793,0.50341,0.31908,0.35735,0.20587,1.67671,1.85317,1.18872,0.000496,0.000496,0.000496
98,144366,0.56202,0.26891,0.81668,0.50436,0.31828,0.35729,0.20599,1.67663,1.85516,1.18937,0.000397,0.000397,0.000397
99,145461,0.55839,0.26707,0.81601,0.50391,0.31752,0.35694,0.20582,1.67662,1.85669,1.19001,0.000298,0.000298,0.000298
100,146557,0.55324,0.26489,0.8149,0.50483,0.31706,0.35685,0.20581,1.67632,1.85887,1.19056,0.000199,0.000199,0.000199
