epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
63,50387.8,1.11123,0.4067,0.11572,0.64388,0.48837,0.49797,0.309,0.71349,0.47926,0.06897,0.003862,0.003862,0.003862
64,51094.7,1.07423,0.42027,0.11404,0.65662,0.50737,0.51826,0.32719,0.6553,0.49633,0.06523,0.003763,0.003763,0.003763
65,51804.1,1.08245,0.41379,0.11187,0.65274,0.48902,0.4995,0.30668,0.72267,0.4735,0.06965,0.003664,0.003664,0.003664
66,52510.8,1.10723,0.40562,0.12202,0.64619,0.4919,0.50433,0.31375,0.69214,0.49265,0.06884,0.003565,0.003565,0.003565
67,53864.8,1.01396,0.43097,0.10357,0.65142,0.49743,0.51264,0.31677,0.67303,0.49436,0.06588,0.003466,0.003466,0.003466
68,54566.9,1.00313,0.43389,0.10367,0.65256,0.50795,0.52058,0.32266,0.66511,0.49827,0.06537,0.003367,0.003367,0.003367
69,55271.6,1.09444,0.40752,0.11793,0.66405,0.48493,0.50289,0.31,0.71329,0.4732,0.07009,0.003268,0.003268,0.003268
70,55986.3,1.02255,0.42691,0.1088,0.65612,0.51072,0.52432,0.32743,0.65635,0.49971,0.06558,0.003169,0.003169,0.003169
71,56693.2,1.01487,0.42833,0.10328,0.65771,0.50951,0.5254,0.3238,0.66268,0.49286,0.06583,0.00307,0.00307,0.00307
72,57541.3,1.05072,0.41715,0.11325,0.65225,0.50353,0.51647,0.32257,0.68009,0.48165,0.06738,0.002971,0.002971,0.002971
73,58293.3,0.98532,0.43504,0.10165,0.65719,0.51555,0.52906,0.32977,0.65263,0.49411,0.06442,0.002872,0.002872,0.002872
74,58999.5,0.96306,0.43864,0.09887,0.66201,0.52197,0.53749,0.33792,0.63653,0.49771,0.06305,0.002773,0.002773,0.002773
75,59706,0.95416,0.44151,0.09643,0.65963,0.53215,0.54655,0.34736,0.6137,0.50703,0.06239,0.002674,0.002674,0.002674
76,60412.1,0.97793,0.43365,0.09988,0.66706,0.51754,0.53451,0.32598,0.65172,0.50062,0.0652,0.002575,0.002575,0.002575
77,61159.2,1.08101,0.4112,0.11451,0.66308,0.51722,0.53315,0.33461,0.65428,0.49315,0.06631,0.002476,0.002476,0.002476
78,61866,0.91392,0.45088,0.0959,0.66763,0.52154,0.54047,0.33936,0.63171,0.50551,0.063,0.002377,0.002377,0.002377
79,62666.1,0.90019,0.44973,0.08906,0.67436,0.52587,0.54648,0.34674,0.61536,0.50495,0.06116,0.002278,0.002278,0.002278
80,63373.5,0.91377,0.44625,0.09215,0.67025,0.5323,0.5507,0.35205,0.60399,0.50469,0.06075,0.002179,0.002179,0.002179
81,64080.9,0.88408,0.45079,0.09037,0.67238,0.53789,0.55381,0.35199,0.60979,0.50246,0.06054,0.00208,0.00208,0.00208
82,64786.8,0.90148,0.44722,0.0896,0.67922,0.53713,0.55715,0.3566,0.59834,0.50611,0.06055,0.001981,0.001981,0.001981
83,65492.5,0.88943,0.44788,0.09051,0.67764,0.54012,0.56058,0.35905,0.59915,0.5031,0.06013,0.001882,0.001882,0.001882
84,66199.9,0.92124,0.44299,0.09245,0.6735,0.54247,0.55755,0.35039,0.61217,0.50238,0.06201,0.001783,0.001783,0.001783
85,66905.9,0.96743,0.43679,0.10074,0.68132,0.52695,0.54704,0.34376,0.62873,0.49637,0.0622,0.001684,0.001684,0.001684
86,67616.2,0.93921,0.44001,0.10049,0.6763,0.52173,0.5406,0.34325,0.64561,0.48571,0.0634,0.001585,0.001585,0.001585
87,68321.2,0.87495,0.45389,0.09153,0.67497,0.53,0.54832,0.35231,0.61933,0.4962,0.06199,0.001486,0.001486,0.001486
88,69028.6,0.92853,0.43802,0.09819,0.67525,0.5216,0.54041,0.34507,0.63748,0.48797,0.06374,0.001387,0.001387,0.001387
89,69739.9,0.83768,0.4565,0.08988,0.67959,0.52883,0.55105,0.35453,0.61661,0.4963,0.06257,0.001288,0.001288,0.001288
90,70449.8,0.87187,0.44797,0.09123,0.6844,0.53192,0.55469,0.35567,0.61318,0.49542,0.06247,0.001189,0.001189,0.001189
91,71161.7,0.73688,0.47733,0.06733,0.6844,0.53972,0.56008,0.36244,0.59636,0.50182,0.06049,0.00109,0.00109,0.00109
92,71866.7,0.73824,0.47257,0.06565,0.69439,0.5409,0.56592,0.36656,0.58487,0.50405,0.05941,0.000991,0.000991,0.000991
93,72631.8,0.70915,0.4722,0.06441,0.68488,0.54953,0.56882,0.36851,0.57939,0.50262,0.05939,0.000892,0.000892,0.000892
94,73336.3,0.70209,0.47241,0.06356,0.69005,0.54863,0.5695,0.36849,0.57586,0.50205,0.0591,0.000793,0.000793,0.000793
95,74039,0.6965,0.47168,0.06321,0.6877,0.55072,0.57121,0.37013,0.57403,0.5015,0.05848,0.000694,0.000694,0.000694
96,74743.5,0.69545,0.47038,0.06289,0.68279,0.55587,0.57244,0.37129,0.57387,0.49996,0.05837,0.000595,0.000595,0.000595
97,75443.3,0.6677,0.47322,0.06173,0.68493,0.55868,0.57433,0.37331,0.57216,0.49925,0.05842,0.000496,0.000496,0.000496
98,76148.7,0.67855,0.47052,0.06257,0.68126,0.56125,0.57605,0.37431,0.57124,0.49971,0.05843,0.000397,0.000397,0.000397
99,76849.1,0.66799,0.4701,0.06177,0.6779,0.56135,0.57575,0.37411,0.57081,0.49904,0.05838,0.000298,0.000298,0.000298
100,77551.3,0.65913,0.47181,0.06121,0.68344,0.55931,0.57665,0.37476,0.57002,0.49876,0.0585,0.000199,0.000199,0.000199
