epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,107459,0.7821,0.36823,0.85972,0.48829,0.31963,0.35615,0.2057,1.68096,1.70131,1.17144,0.004258,0.004258,0.004258
60,108681,0.78185,0.36803,0.85951,0.48814,0.31895,0.35591,0.20553,1.68015,1.70318,1.17177,0.004159,0.004159,0.004159
61,109802,0.77521,0.36502,0.8573,0.48844,0.31847,0.35589,0.20562,1.67909,1.70045,1.17176,0.00406,0.00406,0.00406
62,110933,0.77486,0.36436,0.85841,0.49023,0.3183,0.35567,0.20555,1.67871,1.70346,1.17178,0.003961,0.003961,0.003961
63,112072,0.76794,0.36174,0.85608,0.49085,0.31745,0.35509,0.2055,1.6786,1.70872,1.17216,0.003862,0.003862,0.003862
64,113232,0.76723,0.36098,0.85725,0.49083,0.31636,0.3546,0.20529,1.67783,1.71124,1.17254,0.003763,0.003763,0.003763
65,115104,0.76399,0.35905,0.85533,0.49081,0.31623,0.35424,0.20513,1.67749,1.71323,1.17282,0.003664,0.003664,0.003664
66,116791,0.75882,0.35704,0.85366,0.49163,0.31553,0.35383,0.20525,1.67674,1.71642,1.17295,0.003565,0.003565,0.003565
67,119138,0.7556,0.35627,0.85371,0.49086,0.31489,0.35306,0.20478,1.67624,1.72062,1.17294,0.003466,0.003466,0.003466
68,120259,0.75253,0.35525,0.85123,0.49074,0.31481,0.35254,0.20441,1.67572,1.7237,1.17279,0.003367,0.003367,0.003367
69,121476,0.75061,0.35371,0.85304,0.49081,0.3145,0.3521,0.20404,1.67524,1.72449,1.17271,0.003268,0.003268,0.003268
70,122597,0.74568,0.35174,0.85154,0.4907,0.31407,0.35183,0.20394,1.67544,1.72742,1.17321,0.003169,0.003169,0.003169
71,123718,0.74248,0.34991,0.85153,0.49016,0.31298,0.35117,0.20369,1.67557,1.73202,1.17354,0.00307,0.00307,0.00307
72,124862,0.73818,0.34782,0.84914,0.48952,0.31168,0.35091,0.20343,1.67545,1.73438,1.17375,0.002971,0.002971,0.002971
73,126209,0.73395,0.34615,0.84773,0.48866,0.3115,0.35063,0.20336,1.67531,1.73739,1.17385,0.002872,0.002872,0.002872
74,127696,0.73106,0.34442,0.84789,0.48927,0.31044,0.35045,0.20341,1.67592,1.74448,1.17428,0.002773,0.002773,0.002773
75,128818,0.72586,0.3424,0.84675,0.49033,0.30935,0.35012,0.20351,1.67575,1.74997,1.17437,0.002674,0.002674,0.002674
76,129939,0.72384,0.34151,0.84554,0.49023,0.30865,0.34946,0.20296,1.67589,1.75647,1.17437,0.002575,0.002575,0.002575
77,131124,0.72416,0.34136,0.84572,0.49058,0.30806,0.34917,0.20279,1.67553,1.7597,1.1743,0.002476,0.002476,0.002476
78,135899,0.71617,0.33822,0.84553,0.48962,0.30766,0.34885,0.20263,1.67515,1.7643,1.17427,0.002377,0.002377,0.002377
79,137209,0.71273,0.33649,0.84507,0.49056,0.30707,0.34889,0.20269,1.67439,1.76696,1.17438,0.002278,0.002278,0.002278
80,138330,0.7116,0.3355,0.84476,0.49188,0.30629,0.34887,0.20283,1.67394,1.76993,1.17448,0.002179,0.002179,0.002179
81,139452,0.70758,0.33412,0.84256,0.49196,0.30568,0.34848,0.20269,1.67301,1.76848,1.17444,0.00208,0.00208,0.00208
82,141064,0.70302,0.3321,0.8429,0.49177,0.30441,0.34862,0.20283,1.67159,1.76662,1.17437,0.001981,0.001981,0.001981
83,142186,0.69996,0.33067,0.8419,0.49386,0.30334,0.34852,0.20265,1.67059,1.76813,1.17446,0.001882,0.001882,0.001882
84,143307,0.69257,0.3276,0.83935,0.4951,0.30259,0.34843,0.2026,1.66972,1.77246,1.17444,0.001783,0.001783,0.001783
85,145922,0.69199,0.32697,0.84038,0.49611,0.30161,0.34802,0.20242,1.66908,1.77937,1.17457,0.001684,0.001684,0.001684
86,147044,0.68713,0.32487,0.8393,0.49729,0.30059,0.34784,0.20228,1.66885,1.78441,1.17502,0.001585,0.001585,0.001585
87,150297,0.68526,0.32449,0.83738,0.49634,0.2989,0.34771,0.20217,1.66852,1.78908,1.1752,0.001486,0.001486,0.001486
88,151418,0.6802,0.32251,0.83704,0.49688,0.29743,0.34672,0.20149,1.6685,1.79403,1.17545,0.001387,0.001387,0.001387
89,152540,0.67637,0.32017,0.83661,0.49669,0.29685,0.34667,0.20158,1.66771,1.79959,1.17563,0.001288,0.001288,0.001288
90,153672,0.67319,0.31873,0.83631,0.49729,0.2958,0.34608,0.20118,1.66742,1.80648,1.17607,0.001189,0.001189,0.001189
91,154788,0.63681,0.30012,0.83019,0.49772,0.2942,0.34539,0.20093,1.66726,1.81539,1.1763,0.00109,0.00109,0.00109
92,155888,0.62682,0.29608,0.82932,0.49901,0.29286,0.34486,0.20069,1.6676,1.82496,1.17677,0.000991,0.000991,0.000991
93,156989,0.62071,0.29378,0.82775,0.5001,0.29163,0.34407,0.20037,1.66826,1.83459,1.17741,0.000892,0.000892,0.000892
94,158090,0.61513,0.29138,0.82677,0.50105,0.29034,0.34421,0.2008,1.66852,1.8428,1.17803,0.000793,0.000793,0.000793
95,159191,0.60904,0.2889,0.82435,0.5013,0.28956,0.34377,0.20084,1.66852,1.84955,1.17846,0.000694,0.000694,0.000694
96,160292,0.60363,0.28666,0.82359,0.50353,0.28837,0.34346,0.20079,1.66805,1.856,1.17904,0.000595,0.000595,0.000595
97,161397,0.59748,0.28367,0.82269,0.50502,0.28743,0.34277,0.20042,1.66832,1.86336,1.17982,0.000496,0.000496,0.000496
98,162501,0.59389,0.28202,0.82172,0.50557,0.28646,0.34258,0.20038,1.66832,1.86662,1.18054,0.000397,0.000397,0.000397
99,163604,0.58942,0.28007,0.82077,0.50587,0.28577,0.3424,0.20044,1.66812,1.87347,1.18104,0.000298,0.000298,0.000298
100,164705,0.58462,0.27808,0.81956,0.50645,0.28443,0.34202,0.20057,1.66777,1.8805,1.18151,0.000199,0.000199,0.000199
