epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
64,31803.6,1.03489,0.59702,0.90483,0.73629,0.61163,0.66467,0.44389,1.08907,0.68301,0.9303,0.003763,0.003763,0.003763
65,32101.6,1.02619,0.59163,0.90271,0.74656,0.60431,0.6658,0.44238,1.08548,0.68358,0.93024,0.003664,0.003664,0.003664
66,32735.9,1.02524,0.58988,0.90498,0.72804,0.61014,0.66165,0.44223,1.08623,0.68624,0.93188,0.003565,0.003565,0.003565
67,33035.6,1.02471,0.58946,0.90296,0.73831,0.61075,0.66406,0.44284,1.08657,0.68492,0.93185,0.003466,0.003466,0.003466
68,34398.8,1.01949,0.58093,0.90213,0.74892,0.60241,0.663,0.44394,1.08495,0.6856,0.93135,0.003367,0.003367,0.003367
69,34695.4,1.01676,0.57877,0.90184,0.73377,0.60552,0.65766,0.43992,1.08618,0.68727,0.93171,0.003268,0.003268,0.003268
70,34995,1.01521,0.57849,0.90238,0.73988,0.60792,0.6629,0.4432,1.08603,0.68845,0.9331,0.003169,0.003169,0.003169
71,35293.9,1.01216,0.57317,0.90029,0.7279,0.61496,0.66441,0.44319,1.08852,0.68941,0.93276,0.00307,0.00307,0.00307
72,35591.4,1.01501,0.5732,0.89906,0.72459,0.61148,0.66075,0.44021,1.09123,0.68923,0.93299,0.002971,0.002971,0.002971
73,36221.2,1.00822,0.56858,0.89908,0.73927,0.60528,0.66277,0.44101,1.09106,0.68882,0.93484,0.002872,0.002872,0.002872
74,37308.8,1.00333,0.56334,0.89797,0.72047,0.61349,0.66231,0.44138,1.09034,0.68973,0.93298,0.002773,0.002773,0.002773
75,39308.2,1.00126,0.56112,0.89601,0.72651,0.60765,0.6612,0.44131,1.09074,0.69022,0.9317,0.002674,0.002674,0.002674
76,39604.9,0.99577,0.55691,0.89683,0.74315,0.59797,0.66159,0.44072,1.09197,0.69021,0.93344,0.002575,0.002575,0.002575
77,39952.2,0.99977,0.55767,0.89817,0.74893,0.59796,0.66133,0.44018,1.09224,0.69008,0.93459,0.002476,0.002476,0.002476
78,40249.8,0.99885,0.55453,0.89731,0.74382,0.60281,0.65982,0.43943,1.09142,0.69291,0.93421,0.002377,0.002377,0.002377
79,40739,0.98778,0.5469,0.89425,0.74676,0.60158,0.66067,0.4397,1.0918,0.69275,0.93172,0.002278,0.002278,0.002278
80,41035.7,0.98729,0.5463,0.89309,0.73662,0.60406,0.6588,0.43796,1.09458,0.69479,0.93195,0.002179,0.002179,0.002179
81,41598.8,0.98808,0.54397,0.89215,0.72935,0.61157,0.66089,0.4396,1.09456,0.69499,0.933,0.00208,0.00208,0.00208
82,41923.8,0.98637,0.54177,0.89133,0.73202,0.60604,0.65886,0.43803,1.09543,0.69544,0.93336,0.001981,0.001981,0.001981
83,42570.3,0.9806,0.54008,0.8926,0.731,0.60516,0.65593,0.43673,1.0968,0.69502,0.93474,0.001882,0.001882,0.001882
84,43600.9,0.97905,0.53654,0.89286,0.72708,0.61088,0.6573,0.43683,1.09623,0.69544,0.93491,0.001783,0.001783,0.001783
85,43906,0.97982,0.53438,0.89108,0.73538,0.60445,0.65859,0.43716,1.09724,0.69648,0.93524,0.001684,0.001684,0.001684
86,44203.5,0.97541,0.53056,0.88906,0.72946,0.61167,0.65852,0.43826,1.09605,0.69658,0.93385,0.001585,0.001585,0.001585
87,44595,0.97606,0.53056,0.88887,0.73445,0.60779,0.65817,0.43707,1.09626,0.69745,0.93338,0.001486,0.001486,0.001486
88,45303.1,0.97167,0.52733,0.88699,0.73469,0.60844,0.6582,0.43688,1.09503,0.69914,0.9329,0.001387,0.001387,0.001387
89,45600.3,0.97032,0.52297,0.88717,0.73583,0.6064,0.6583,0.43732,1.09673,0.69967,0.93384,0.001288,0.001288,0.001288
90,45897.8,0.96905,0.52247,0.88738,0.73647,0.60874,0.6588,0.43815,1.0962,0.69957,0.93385,0.001189,0.001189,0.001189
91,46384.5,0.96293,0.5093,0.88697,0.74731,0.6037,0.65668,0.43624,1.09835,0.70071,0.93452,0.00109,0.00109,0.00109
92,46676.3,0.95644,0.50247,0.88406,0.73988,0.60643,0.65489,0.43472,1.09882,0.7017,0.93439,0.000991,0.000991,0.000991
93,47791.1,0.95269,0.49952,0.88332,0.73436,0.60688,0.65409,0.4331,1.10024,0.70501,0.93397,0.000892,0.000892,0.000892
94,48082.7,0.94983,0.49484,0.88236,0.73919,0.60027,0.65294,0.43371,1.10088,0.70608,0.93368,0.000793,0.000793,0.000793
95,48374.2,0.9472,0.49168,0.88156,0.74374,0.5975,0.65293,0.43295,1.10171,0.70851,0.93418,0.000694,0.000694,0.000694
96,48705.6,0.94329,0.48915,0.88096,0.74011,0.59745,0.65275,0.43391,1.10212,0.70859,0.93469,0.000595,0.000595,0.000595
97,49001.3,0.93855,0.48691,0.88108,0.73876,0.59916,0.65363,0.43411,1.10365,0.70947,0.93569,0.000496,0.000496,0.000496
98,49294.7,0.93889,0.48353,0.88005,0.74224,0.59722,0.65137,0.43289,1.10371,0.70996,0.93603,0.000397,0.000397,0.000397
99,49586.4,0.93571,0.48168,0.87826,0.75033,0.59366,0.65203,0.43318,1.10418,0.71052,0.93608,0.000298,0.000298,0.000298
100,50128.7,0.93217,0.48008,0.87799,0.74424,0.5948,0.65104,0.43292,1.10432,0.71106,0.93658,0.000199,0.000199,0.000199
