epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
61,47288.3,1.06892,0.41049,0.11082,0.62986,0.46808,0.47487,0.28173,0.77388,0.46708,0.07621,0.00406,0.00406,0.00406
62,48026.4,1.08801,0.40017,0.11465,0.61136,0.46364,0.4671,0.27552,0.78598,0.47128,0.07732,0.003961,0.003961,0.003961
63,48764.8,1.09075,0.39957,0.11312,0.623,0.45132,0.4537,0.26327,0.81481,0.46092,0.08065,0.003862,0.003862,0.003862
64,49501.5,1.03663,0.42467,0.10386,0.62787,0.49765,0.50806,0.30689,0.6828,0.51511,0.06907,0.003763,0.003763,0.003763
65,50239,1.0188,0.42547,0.09703,0.6445,0.50929,0.52171,0.31966,0.67335,0.50416,0.06743,0.003664,0.003664,0.003664
66,50981.7,0.97566,0.43357,0.09317,0.65919,0.50489,0.52038,0.31498,0.69432,0.49526,0.06623,0.003565,0.003565,0.003565
67,51720,1.01235,0.4276,0.09907,0.65868,0.51289,0.52987,0.33103,0.65323,0.50768,0.06503,0.003466,0.003466,0.003466
68,52458.7,0.98982,0.42983,0.09428,0.65982,0.51459,0.5291,0.31833,0.68058,0.4985,0.06714,0.003367,0.003367,0.003367
69,53194.4,0.98562,0.43394,0.09357,0.65602,0.50964,0.52114,0.31001,0.68845,0.50213,0.06683,0.003268,0.003268,0.003268
70,53935.2,0.9978,0.42636,0.09699,0.64148,0.51081,0.5178,0.32716,0.67006,0.49151,0.06678,0.003169,0.003169,0.003169
71,54672.8,1.05534,0.41217,0.10613,0.661,0.50724,0.51626,0.30919,0.71903,0.48059,0.07074,0.00307,0.00307,0.00307
72,55411.8,1.05299,0.41255,0.11014,0.67134,0.52241,0.5341,0.33176,0.65784,0.4982,0.06597,0.002971,0.002971,0.002971
73,56149.5,0.97756,0.43284,0.09487,0.66711,0.51558,0.53354,0.33335,0.64101,0.50576,0.06463,0.002872,0.002872,0.002872
74,56893,0.95636,0.43896,0.09087,0.65889,0.52389,0.53721,0.33637,0.63913,0.50311,0.06438,0.002773,0.002773,0.002773
75,57632.4,0.98992,0.42308,0.09858,0.6582,0.5186,0.52976,0.33388,0.65738,0.49134,0.06655,0.002674,0.002674,0.002674
76,58431.6,0.9563,0.43169,0.0924,0.65991,0.52659,0.53682,0.33721,0.64554,0.49454,0.06562,0.002575,0.002575,0.002575
77,59168.7,1.0581,0.39279,0.11152,0.65323,0.49772,0.5054,0.30982,0.73271,0.45941,0.0736,0.002476,0.002476,0.002476
78,59907.7,1.03685,0.39649,0.10888,0.65505,0.48031,0.49207,0.30023,0.76314,0.45036,0.07736,0.002377,0.002377,0.002377
79,60646.1,1.02804,0.40372,0.11031,0.64164,0.4768,0.48631,0.30032,0.76432,0.45249,0.07678,0.002278,0.002278,0.002278
80,61417.2,0.99927,0.41209,0.10458,0.65043,0.46971,0.48295,0.29766,0.76164,0.4561,0.07749,0.002179,0.002179,0.002179
81,62153.9,0.98055,0.41701,0.10294,0.65109,0.47413,0.49,0.29723,0.75529,0.46272,0.07681,0.00208,0.00208,0.00208
82,62898.5,0.99314,0.41445,0.10347,0.64647,0.47231,0.48378,0.29597,0.76164,0.45876,0.07674,0.001981,0.001981,0.001981
83,63635.2,0.98726,0.41654,0.10123,0.65013,0.46547,0.47979,0.29137,0.7674,0.45865,0.0779,0.001882,0.001882,0.001882
84,64377.5,0.96828,0.42107,0.1001,0.65516,0.45634,0.47485,0.28687,0.77095,0.45992,0.07722,0.001783,0.001783,0.001783
85,65117.7,0.97901,0.41752,0.10173,0.63741,0.46576,0.47793,0.28789,0.76366,0.46594,0.07593,0.001684,0.001684,0.001684
86,65883.7,0.97845,0.42058,0.09908,0.67055,0.45814,0.48105,0.29209,0.75581,0.46776,0.07615,0.001585,0.001585,0.001585
87,66624.4,0.96097,0.42536,0.0991,0.64987,0.46187,0.48175,0.29102,0.75525,0.46868,0.07613,0.001486,0.001486,0.001486
88,67629.9,0.98525,0.41364,0.10091,0.6563,0.47558,0.49156,0.30061,0.74605,0.46598,0.07539,0.001387,0.001387,0.001387
89,68369.3,0.97084,0.42474,0.10119,0.65289,0.46912,0.48565,0.29436,0.75772,0.46754,0.07539,0.001288,0.001288,0.001288
90,69689.7,0.96638,0.42575,0.10262,0.63618,0.45742,0.47455,0.28596,0.76647,0.46985,0.07714,0.001189,0.001189,0.001189
91,70431.7,0.89443,0.43705,0.08224,0.645,0.4747,0.48856,0.29575,0.74693,0.4713,0.07456,0.00109,0.00109,0.00109
92,71166.4,0.85601,0.45266,0.07852,0.64119,0.47643,0.48821,0.30087,0.73474,0.47522,0.07318,0.000991,0.000991,0.000991
93,71898.3,0.85473,0.44831,0.07788,0.63922,0.479,0.48883,0.29972,0.72984,0.47832,0.0729,0.000892,0.000892,0.000892
94,72628.8,0.8052,0.46476,0.07211,0.64524,0.48663,0.50011,0.31164,0.70231,0.48842,0.07053,0.000793,0.000793,0.000793
95,73357.6,0.79277,0.46442,0.07081,0.64602,0.49234,0.50322,0.31259,0.69716,0.48969,0.0696,0.000694,0.000694,0.000694
96,74085.9,0.79562,0.46191,0.0713,0.6348,0.49223,0.49847,0.30918,0.70456,0.48748,0.07057,0.000595,0.000595,0.000595
97,74813.7,0.80409,0.45738,0.07263,0.64258,0.48165,0.49473,0.30448,0.71136,0.48558,0.07122,0.000496,0.000496,0.000496
98,75547.4,0.80915,0.46635,0.0733,0.6394,0.47499,0.48766,0.30112,0.72065,0.48628,0.07275,0.000397,0.000397,0.000397
99,76287,0.77863,0.47003,0.06896,0.64027,0.47637,0.49065,0.30195,0.71472,0.48893,0.07205,0.000298,0.000298,0.000298
100,77019.8,0.77333,0.47285,0.06914,0.63203,0.47877,0.49256,0.30542,0.71107,0.49147,0.07175,0.000199,0.000199,0.000199
